ID	Название (EN)	Название (RU)	Категория	Домен/Подкатегория	Подтип	Код подтипа	Формулировка	Механизм нарушения	Пример	Связанные ошибки	Диагностический вопрос	Психологический источник	Статус	Источник (Texas ID)	Вторичный код (Кат.3)
1.B.1.7	Thousand Flowers Fallacy	Ошибка «ста цветов»	1 - Условия	1.B Манипуляции	Угроза вместо аргумента	1.B.1	Поощрение дискуссии для выявления и наказания несогласных	Манипуляция: «свободная дискуссия» — ловушка для идентификации инакомыслящих.	Кампания Мао «Пусть расцветают сто цветов» — выявление и ликвидация диссидентов	1.B.1, 1.B.14	Безопасно ли высказывать несогласие?	Entrapment, authoritarian control	Черновик	Thousand Flowers Fallacy	
1.B.1.8	TINA / There Is No Alternative	TINA / «Альтернативы нет»	1 - Условия	1.B Манипуляции	Угроза вместо аргумента	1.B.1	Подавление критического мышления заявлением об отсутствии альтернативы	Рассуждение пресекается властью: альтернативы объявляются несуществующими. Fait accompli.	«Нравится — оставайся, не нравится — уезжай»; «Смирись»; «Это как есть»	1.A.4, 2.6.4.4	Действительно ли альтернатив нет? Или их объявили несуществующими?	Power play, intellectual laziness	Черновик	TINA	
1.B.10.1	Appeasement	Умиротворение / «Скрипучее колесо смазывают»	1 - Условия	1.B Манипуляции	Давление вместо аргумента	1.B.10	Уступка требованиям не потому, что они обоснованы, а потому что требующий создаёт неудобства	Рассуждение о правоте заменяется расчётом издержек. «Дешевле уступить, чем спорить» — это не аргумент в пользу правоты требования. Поощряет манипулятивное поведение.	«Клиент всегда прав, даже когда неправ. Дайте ему что хочет, чтобы отвязался — это дешевле, чем судиться»	1.B.1	Уступаю ли я потому, что требование справедливо, или потому, что так проще?	Избегание конфликта, краткосрочная оптимизация	Черновик	Appeasement	
1.B.11.1	Argumentum ad Mysteriam	Аргумент от тайны / Мистагогия	1 - Условия	1.B Манипуляции	Квази-гипнотическое воздействие вместо аргумента	1.B.11	Использование ритуалов, тайн, непонятного языка и атмосферы для «убеждения» без аргументов	Рассуждение подменяется воздействием на восприятие: затемнённое помещение, благовония, пение, ритуалы, непонятный язык создают квази-гипнотический эффект. Убеждает не логика, а атмосфера.	Чтение священных текстов на непонятном древнем языке; использование латинских терминов для придания весомости	1.B.7	Убеждает ли меня содержание или форма подачи? Понимаю ли я, что именно утверждается?	Восприимчивость к ритуалу, почтение к непонятному	Черновик	Argumentum ad Mysteriam	
1.B.11.2	Pseudo-Esoteric Appeal	Ложная эзотерическая претензия	1 - Условия	1.B Манипуляции	Квази-гипнотическое воздействие / непроверяемый авторитет	1.B.11	Претензия на непроверяемое «тайное знание» как способ избежать критики или создать иерархию	Ложная апелляция к эзотерическому знанию. Не путать с подлинным эзотерическим/tacit knowledge, которое реально существует. Ошибка — использовать «невыразимость» как щит от критики, а не передавать знание.	«Моя теория верна, но ты не поймёшь — нужны годы посвящения»; «Это сакральное знание, недоступное непосвящённым»; «Ты не можешь судить, потому что не прошёл через это»	1.B.11.1, 1.B.9	Есть ли проверяемые результаты этого «знания»? Или непроверяемость используется как защита от критики?	Желание принадлежать к избранным	Черновик	Esoteric Knowledge	
1.B.12.1	Big Brain/Little Brain Fallacy	Ошибка «Большой мозг / Маленький мозг» / Фюрер-принцип	1 - Условия	1.B Манипуляции	Отказ от рассуждения через делегирование	1.B.12	Лидер говорит: «Не думай своим маленьким мозгом — думай моим большим. Я беру на себя всю ответственность»	Рассуждение полностью делегируется другому. Человек отказывается от собственного суждения и ответственности. Это не ошибка внутри рассуждения — это отказ рассуждать вообще.	«Вам не нужно беспокоиться о правильности ваших действий — я, Лидер, беру на себя всю ответственность. Просто выполняйте приказы»	1.B.12.2, 1.B.9	Отказываюсь ли я от собственного суждения? Снимает ли чей-то приказ мою ответственность?	Желание снять ответственность, подчинение авторитету	Черновик	Big Brain/Little Brain Fallacy	
1.B.12.2	Blind Loyalty	Слепая лояльность / Нюрнбергская защита	1 - Условия	1.B Манипуляции	Отказ от рассуждения через делегирование	1.B.12	Аргумент или действие правильны просто потому, что так сказал уважаемый лидер/источник	Собственное рассуждение и совесть подчинены авторитету. «Я просто выполнял приказы» — не оправдание, а отказ от моральной ответственности.	«Мне так сказали делать»; «Я просто выполнял приказы»	1.B.12.1, 1.B.9	Является ли приказ/авторитет достаточным основанием? Снимает ли послушание мою ответственность?	Подчинение авторитету (эксперимент Милгрэма)	Черновик	Blind Loyalty	
1.B.13.1	Bribery	Подкуп / Материальное убеждение	1 - Условия	1.B Манипуляции	Выгода вместо аргумента	1.B.13	«Убеждение» взятками, подарками или услугами	Рассуждение подменяется материальным стимулом. Обратная сторона ad baculum: вместо угрозы — награда. Подкуп не делает позицию истинной.	Предложение денег или услуг в обмен на «согласие» с позицией	1.B.1, 1.B.10	Соглашаюсь ли я потому, что убеждён, или потому, что это выгодно?	Материальный интерес	Черновик	Bribery	
1.B.14	Mala Fides / Arguing in Bad Faith	Недобросовестная аргументация / Софизм	1 - Условия	1.B Манипуляции	Обман вместо аргумента	1.B.14	Использование аргумента, который сам аргументирующий знает недействительным	Рассуждение подменяется сознательным обманом: говорящий знает, что его аргумент ложен. Включает «мотивационную правду» — ложь для «благой цели».	Адвокат защищает клиента, которого знает виновным; спорщик отстаивает позицию, в которую сам не верит, ради победы	1.B.8, Self Deception	Верит ли говорящий сам в свои аргументы?	Макиавеллизм, цель оправдывает средства	Черновик	Mala Fides	
1.B.15	Oops! / October Surprise	«Ой, забыл!» / Судебный сюрприз	1 - Условия	1.B Манипуляции	Тактическая манипуляция	1.B.15	В решающий момент внезапно «вспоминается» важный факт, а после ущерба объявляется несущественным	Манипуляция процессом: информация подаётся в момент, когда оппонент не может ответить. Запрещено в судах.	«Ой, забыл: вас ведь уже дважды судили за это?!» — в конце процесса; внезапное «вспомнил» в конце переговоров	1.B.14, 1.B.8	Почему эта информация появилась именно сейчас? Есть ли возможность ответить?	Тактическое мышление, манипуляция	Черновик	Oops!	
1.B.2.1	Appeal to Pity	Апелляция к жалости	1 - Условия	1.B Манипуляции	Жалость вместо аргумента	1.B.2	Призыв «болеть за слабого» независимо от существа вопроса	Рассуждение подменяется эмоциональным откликом. Вместо анализа ситуации по существу — апелляция к жалости и симпатии к «underdog». Эмоция занимает место аргумента.	«Эти бедные милые мышки пищат, а злые кошки их едят!» — как аргумент против кошек, игнорирующий экологию	1.B.3, 2.3.5	Является ли моя симпатия к одной стороне основанием для оценки ситуации по существу?	Эмпатия, идентификация со слабым	Черновик	Appeal to Pity	
1.B.2.2	Narrative Fallacy	Нарративная ошибка / Басня	1 - Условия	1.B Манипуляции	Эмоция вместо аргумента	1.B.2	Убеждение через «трогательную» или ужасающую историю вместо логических аргументов	Рассуждение подменяется эмоциональным воздействием: история убеждает сильнее логики, но это не доказательство. Нарративы неопровержимы, даже если вымышлены.	«Рождественская песнь» Диккенса; использование «poster child» для продвижения позиции	1.B.2, 1.B.3	Доказывает ли история общий принцип? Или только вызывает эмоции?	Narrative bias, эмпатия	Черновик	Narrative Fallacy	
1.B.2.3	Save the Children Fallacy	Ошибка «Спасите детей»	1 - Условия	1.B Манипуляции	Эмоция вместо аргумента	1.B.2	Привлечение поддержки через показ страданий детей «нашей» стороны, игнорируя других	Рассуждение подменяется избирательным патосом: показывают только «правильных» жертв для обоснования интервенции.	«Спасём детей нашего двора!» — о детях соседнего молчание; жалость по списку	1.B.2, 2.1.3	Показаны ли жертвы всех сторон? Или только «нужные»?	Selective empathy, propaganda	Черновик	Save the Children Fallacy	
1.B.3.1	Dog-Whistle Politics	Политика «собачьего свистка»	1 - Условия	1.B Манипуляции	Эмоция вместо аргумента	1.B.3	Использование кодовых слов/фраз, вызывающих рефлекторную эмоциональную реакцию вместо рассуждения	Рассуждение подменяется триггером: короткая фраза вызывает немедленную эмоциональную реакцию, минуя анализ. Попытка деконструировать триггер встречает ярость или недоумение.	Выступающий «свистит» словечки-сигналы своей аудитории вместо рассмотрения аргументов	1.B.3, Reductionism	Реагирую ли я на слово/фразу рефлекторно или анализирую содержание?	Трайбализм, эмоциональное заражение	Черновик	Dog-Whistle Politics	
1.B.3.2	F-Bomb / Obscenity Fallacy	Ошибка нецензурности / Сальность	1 - Условия	1.B Манипуляции	Эмоция вместо аргумента	1.B.3	Попытка усилить аргумент нецензурной или сексуализированной лексикой, не связанной с содержанием	Рассуждение подменяется эмоциональным воздействием: шок, возмущение или идентификация через язык. Нецензурность не делает аргумент сильнее.	Добавление «взрослых» сцен в фильм только ради рейтинга; скабрёзность вместо довода	1.B.3, Red Herring	Усиливает ли этот язык аргумент или только создаёт эмоциональную реакцию?	Желание шокировать, идентификация с группой	Черновик	F-Bomb	
1.B.3.3	Playing on Emotion / Sob Story	Игра на эмоциях / «Слёзная история»	1 - Условия	1.B Манипуляции	Эмоция вместо аргумента	1.B.3	Чистый аргумент от эмоций, игнорирующий факты — только пробуждение чувств	Рассуждение подменяется чистым патосом. Факты игнорируются, только эмоциональная картина.	«Представьте плачущих матерей над пустыми кроватками! Повесим всех ведьм!»	1.B.2, 1.B.2.2, Apathetic Fallacy	Есть ли здесь факты и аргументы? Или только эмоции?	Эмпатия как инструмент манипуляции	Черновик	Playing on Emotion	
1.B.3.4	Prosopology / Reciting the Litany	Просопология / Перечисление имён	1 - Условия	1.B Манипуляции	Эмоция вместо аргумента	1.B.3	Публичное зачитывание списка имён для эмоционального воздействия	Рассуждение подменяется патосом: имена создают мистическое воздействие, но это не аргумент.	Зачитывание длинного списка подписей «против» вместо довода — вес числа вместо разбора	1.B.2, 1.B.2.2	Доказывает ли перечисление имён что-то? Или только создаёт эффект?	Emotional impact of names	Черновик	Prosopology	
1.B.3.5	Scare Tactics / Appeal to Fear	Запугивание / Апелляция к страху	1 - Условия	1.B Манипуляции	Эмоция вместо аргумента	1.B.3	Использование кризиса и страха для навязывания решения, неприемлемого при спокойном рассмотрении	Рассуждение подменяется страхом: паника используется для протаскивания неприемлемых решений.	«Если не сделаете как я говорю — всё пропало!»; продавец сигнализаций открывает разговор сводкой краж	1.B.3.3, Shock Doctrine	Было бы это решение принято при спокойном рассмотрении?	Fear response, crisis exploitation	Черновик	Scare Tactics	
1.B.3.6	Shopping Hungry Fallacy	Ошибка «покупки на голодный желудок»	1 - Условия	1.B Манипуляции	Эмоция вместо аргумента	1.B.3	Принятие важных решений под сильными эмоциями, о которых потом жалеют	Рассуждение подменяется эмоциональным состоянием: решения «в жару момента».	После кражи в подъезде дом закупил самую дорогую охрану, ничего не сравнив, — покупка «на голодный желудок»	1.B.3.5, 2.3.6.1	Приняли бы мы это решение в спокойном состоянии?	Hot cognition, emotional decision-making	Черновик	Shopping Hungry Fallacy	
1.B.3.7	We Have to Do Something	«Мы должны что-то сделать»	1 - Условия	1.B Манипуляции	Эмоция вместо аргумента	1.B.3	Необходимость действовать немедленно, даже если действие неэффективно	Рассуждение подменяется срочностью: «люди напуганы» без вопроса «что?» и «почему?»	Запрет сэндвичей в самолётах; проверка детских ботиночек; Security Theater	1.B.3.5, 2.3.6.1	Эффективно ли действие? Или это видимость?	Action bias, anxiety	Черновик	We Have to Do Something	
1.B.7	Alphabet Soup	Алфавитный суп / Жаргонная завеса	1 - Условия	1.B Манипуляции	Создание ложного этоса через жаргон	1.B.7	Злоупотребление аббревиатурами и профессиональным жаргоном для создания впечатления «своего» или для запутывания	Рассуждение подменяется демонстрацией принадлежности к группе. Вместо аргумента — сигнал «я свой» или барьер для понимания. Содержание скрыто за формой.	«Нередко K-12 с ASD бывает одновременно GT и LD» — понятно только инсайдерам		Служит ли жаргон прояснению или затуманиванию? Можно ли сказать то же понятным языком?	Желание принадлежности, желание власти через знание	Черновик	Alphabet Soup	
1.B.8	Alternative Truth	Альтернативная истина / Дезинформация	1 - Условия	1.B Манипуляции	Отрицание условий рассуждения	1.B.8	Отрицание различия между фактом и вымыслом, истиной и ложью как такового	Уничтожается само условие рассуждения — различие истины и лжи. Если это различие не существует, рассуждение невозможно в принципе. Атака на фундамент.	Настаивание на своей версии вопреки задокументированной реальности	4.2	Признаёт ли собеседник возможность быть неправым? Признаёт ли различие факта и мнения?	Желание контроля над нарративом	Черновик	Alternative Truth	
1.B.8.1	Big Lie Technique	Техника большой лжи	1 - Условия	1.B Манипуляции	Отрицание условий рассуждения / Дезинформация	1.B.8	Повторение лжи в разных формах до тех пор, пока она не станет частью дискурса	Рассуждение подменяется повторением. Ложь не становится истиной от повторения, но начинает восприниматься как «уже известный факт». Чем наглее ложь, тем она убедительнее.	«Еврейский вопрос» нацистской пропаганды — не было никакого «вопроса»; ложь, слишком большая, чтобы её заподозрить, повторяется до привычности.	1.B.8, 2.3.5.5, 2.1.1	Принимаю ли я это как факт потому, что слышал много раз, или потому, что есть доказательства?	Illusory truth effect	Черновик	Big Lie Technique	
1.B.8.2	Gaslighting	Газлайтинг	1 - Условия	1.B Манипуляции	Отрицание условий рассуждения / Дезинформация	1.B.8	Отрицание или искажение известных фактов, чтобы заставить жертву сомневаться в своём рассудке	Атака на саму возможность рассуждения: подрывается доверие к собственному восприятию и памяти. «Кому ты веришь — мне или своим глазам?»	«Ты же видела счёт своими глазами? Тебе показалось — ты вечно всё путаешь и выдумываешь»	1.B.8.1, 1.B.12	Заставляют ли меня сомневаться в том, что я видел/помню? Кто выигрывает от моего сомнения?	Манипуляция, контроль	Черновик	Gaslighting	
1.B.8.3	Infotainment / Fake News	Инфотейнмент / Фейковые новости	1 - Условия	1.B Манипуляции	Отрицание условий рассуждения / Дезинформация	1.B.8	Намеренное смешивание фактов, новостей, лжи и развлечения в идеологических и коммерческих целях	Разрушение условий рассуждения: граница между фактом и вымыслом размывается намеренно. Аудитория не может отличить новость от развлечения.	Жёлтая пресса; смешение новостей и развлечений с оговоркой «только для развлечения»	1.B.8.1, 1.B.3.1	Это новость или развлечение? Проверены ли факты?	Желание развлекаться, некритичность	Черновик	Infotainment	
1.B.8.4	Scripted Message / Talking Points	Заготовленное сообщение / Тезисы	1 - Условия	1.B Манипуляции	Дезинформация	1.B.8	Ограничение высказываний заготовленными фразами для максимального воздействия	Рассуждение подменяется повторением скриптов: не диалог, а трансляция заготовок для эффекта.	Пресс-секретарь повторяет одни фразы независимо от вопроса; заготовки вместо ответа	1.B.8.1, Dog Whistle	Отвечает человек на вопрос или повторяет заготовку?	Message control, propaganda	Черновик	Scripted Message	
1.B.9	Appeal to Heaven	Апелляция к небесам / «Бог с нами»	1 - Условия	1.B Манипуляции	Непроверяемый авторитет вместо аргумента	1.B.9	Утверждение, что знаешь волю Бога (или Истории, Судьбы), который одобряет твою позицию, поэтому дальнейшее обоснование не требуется	Рассуждение подменяется ссылкой на непроверяемый авторитет. «Бог велел» делает невозможным ни проверку, ни возражение. Отказ от рассуждения через апелляцию к абсолюту.	«Так угодно небу — обсуждение излишне»; «Высшая воля на нашей стороне — спорить не о чем»	2.6.4	Как ты узнал волю Бога? Возможно ли, что ты ошибся? Подлежит ли позиция проверке?	Желание абсолютной уверенности, избегание ответственности	Черновик	Appeal to Heaven	
2.1.1.1	Red Herring	Красная селёдка / Отвлекающий манёвр	2 - Домены	2.1 Распознавание	Деформация объекта (A→A')	2.1.1	Нерелевантный аргумент, отвлекающий эмоционально заряженной, но не связанной темой	Подмена объекта: вместо темы (A) вводится другая (A'), эмоциональная, но не связанная.	«Про мой отчёт — а вы видели, что творится у соседей?» — разговор уведён прочь	2.1.3.1, Dog Whistle	Связана ли эта тема с обсуждаемым вопросом?	Deflection, attention manipulation	Черновик	Red Herring	
2.1.1.2	Straw Man	Соломенное чучело	2 - Домены	2.1 Распознавание	Деформация объекта (A→A')	2.1.1	Создание слабой пародии на аргумент оппонента, чтобы легко опровергнуть	Деформация: реальный аргумент заменяется карикатурой. Побеждается не позиция, а её искажение.	«Вегетарианцы говорят о чувствах — видели корову над Шекспиром?»; «Сторонники удалёнки хотят развалить компанию»	2.1.1.1, 2.1.2.8	Точно ли я представляю позицию оппонента? Узнал бы он себя?	Intellectual laziness, rhetorical shortcut	Черновик	Straw Man	
2.1.2.1	Ad Hominem Argument	Переход на личность	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Вместо аргумента атакуется человек, его выдвигающий	Объект распознавания заменён: вместо аргумента (A) распознаётся личность аргументирующего (B). Внимание переключается с того, ЧТО сказано, на того, КТО сказал.	«Этот так называемый судья…»; «Он настолько плох, что нельзя верить ничему, что он говорит»	1.B.6, 2.1.1	Что я сейчас рассматриваю — аргумент или человека? Был ли аргумент рассмотрен по существу?	Защита эго, гнев, неприязнь	Черновик	Ad Hominem Argument	
2.1.2.10	Paternalism	Патернализм	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Снисходительное отклонение аргументов оппонента как «детских» или «незрелых»	Замена объекта: вместо аргументов оценивается «зрелость» оппонента. «Ваш аргумент инфантилен» — не ответ.	«Ваш аргумент против войны детский. Попробуйте как взрослый»; «Кто-то должен быть взрослым в комнате»	2.1.2.1, Tone Policing	Отвечаю ли я на содержание или на «зрелость» оппонента?	Condescension, power dynamics	Черновик	Paternalism	
2.1.2.11	Reductio ad Hitlerum	Сведение к Гитлеру	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	«Это то, что сказал бы Гитлер» как опровержение позиции	Замена объекта: вместо оценки аргумента — ассоциация с Гитлером. Форма Guilt by Association.	«Гитлер был вегетарианцем — значит, вегетарианство плохо»	2.1.2.1, 2.1.2.4	Опровергает ли ассоциация с Гитлером сам аргумент?	Emotional shortcut, historical trauma	Черновик	Reductio ad Hitlerum	
2.1.2.12	Romantic Rebel / Brave Heretic	Романтический бунтарь / Смелый еретик	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Претензия на истинность только потому, что позиция противостоит мейнстриму	Замена объекта: вместо обоснования — героическая поза. Противоположность Bandwagon.	«Раньше считали Землю плоской! Теперь говорят H2O. А что насчёт Зоны 51?»	Bandwagon, 2.1.2.1	Обосновывает ли оппозиция мейнстриму истинность позиции?	Contrarianism, identity through opposition	Черновик	Romantic Rebel	
2.1.2.13	Star Power / Testimonial	Звёздная сила / Свидетельство знаменитости	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Поддержка позиции известной фигурой, не являющейся экспертом	Замена объекта: вместо оценки аргумента — авторитет знаменитости. Включает цитирование вне контекста.	«Олимпийский чемпион использует X — а вы?»; звезда рекламирует диету, в которой не разбирается	Bandwagon, 2.1.2.1	Является ли эта знаменитость экспертом в данной области?	Halo effect, celebrity worship	Черновик	Star Power	
2.1.2.14	Tone Policing	Контроль тона	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Оценка аргумента по эмоциональному тону, а не по содержанию	Замена объекта: вместо аргумента оценивается тон. Валидный аргумент остаётся валидным независимо от подачи.	«Не буду обсуждать, пока не успокоишься»; «Слишком много восклицательных знаков»	2.1.2.1, 2.1.2.10	Оцениваю содержание или способ подачи?	Deflection, power dynamics	Черновик	Tone Policing	
2.1.2.15	Transfer / Name Dropping	Перенос / Упоминание имён	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Ложная ассоциация известного лица или символа с несвязанным объектом	Замена объекта: оценка переносится с авторитета на несвязанный объект. MLK на рекламе матрасов.	Фото MLK на рекламе матрасов; флаг Техаса для машин из Детройта; Чингисхан для китайского ресторана	2.1.2.13, 2.1.2.4	Есть ли реальная связь между авторитетом и объектом?	Halo effect, borrowed credibility	Черновик	Transfer	
2.1.2.16	Tu Quoque / Two Wrongs Make a Right	Tu quoque / «Сам такой»	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Защита позиции указанием, что оппонент делает то же самое или хуже	Замена объекта: вместо защиты позиции — атака на оппонента. «Ты тоже» не делает действие правильным.	«Да, я опоздал — а ты вчера вообще не пришёл!»; «Сам-то отчёт сдал с ошибками!»	2.1.1.1, 2.1.2.1	Делает ли вина оппонента мою позицию правильной?	Deflection, moral relativism	Черновик	Tu Quoque	
2.1.2.2	Argument from Motives	Аргумент от мотивов	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Аргумент объявляется недействительным из-за мотивов того, кто его выдвигает	Замена объекта: вместо аргумента (A) рассматриваются мотивы говорящего (B). Но даже злые люди иногда говорят правду, а добрые — ошибаются. Мотив не определяет истинность.	«Конкурент хочет, чтобы мы ушли с рынка, — значит, остаёмся» — решение от чужого желания, не от расчёта	2.1.2.1, 1.B.6	Оцениваю ли я аргумент по существу или по тому, кому он выгоден?	Подозрительность, трайбализм	Черновик	Argument from Motives	
2.1.2.3	Blood is Thicker than Water	Кровь гуще воды / Фаворитизм	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Утверждение автоматически считается истинным, потому что его высказал родственник, друг или «свой»	Обратный ad hominem: вместо оценки аргумента (A) оценивается отношение к говорящему (B). «Он свой, значит прав» — отношение не определяет истинность.	«Мой шурин говорит, что видел тебя бездельничающим. Ты уволен!» — без проверки утверждения	2.1.2.1	Оцениваю ли я утверждение по существу или по тому, кто его высказал?	Трайбализм, in-group bias	Черновик	Blood is Thicker than Water	
2.1.2.4	Guilt by Association	Вина по ассоциации	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Опровержение позиции через негативный этос группы, к которой принадлежит говорящий	Замена объекта: вместо аргумента (A) оценивается групповая принадлежность говорящего (B). Партийность не определяет истинность.	«Не слушай его — он из той самой конторы»; «Ты дружил с этим человеком?»	2.1.2.1, 2.1.2.2	Оцениваю ли я аргумент или группу, к которой принадлежит говорящий?	Трайбализм, стереотипы	Черновик	Guilt by Association	
2.1.2.5	Identity Fallacy	Ошибка идентичности / Политика идентичности	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Валидность аргументов зависит не от их силы, а от идентичности (пол, раса, группа) того, кто их приводит	Замена объекта: вместо аргумента (A) оценивается идентичность говорящего (B). Аргументы отвергаются без рассмотрения по существу.	«Ты бы понял, если бы работал в нашем цеху, а раз нет — объяснять бесполезно»	2.1.2.1, 2.1.2.4, Othering	Определяет ли идентичность говорящего истинность его аргументов?	Трайбализм, in-group/out-group	Черновик	Identity Fallacy	
2.1.2.6	Just Plain Folks	«Простой народ» / Апелляция к простоте	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Аргумент достоин доверия, потому что говорящий — «простой человек», «говорит как думает»	Замена объекта: вместо аргумента (A) оценивается имидж говорящего как «своего» (B). «Он простой парень» — не доказывает истинность.	Кандидат в правление дома зовёт себя «простым жильцом» в противовес «умникам» и «профессорам»	2.1.2.1, 2.1.2.5	Оцениваю ли я аргументы по существу или имидж говорящего?	Трайбализм, антиинтеллектуализм	Черновик	Just Plain Folks	
