ID	Название (RU)	Название (EN)	Новый тип	Подтип	Домен ошибки	Суть ошибки	Старый тип	Разбор в книге
D.4	Корабль Тесея	Ship of Theseus	Дефектный	Неопределённость понятия	Д2	«Тот же» не определён — нужен критерий тождества	Псевдо	Центральный
D.5	Топор дедушки	Grandfather's Axe	Дефектный	Неопределённость понятия	Д2	Тождество артефакта — вопрос конвенции	Псевдо	Краткий
D.6	Парадокс телепортации	Teleportation Paradox	Дефектный	Неопределённость понятия	Д2	Критерий тождества личности не указан	Псевдо	Краткий
D.7	Неожиданная казнь	Unexpected Hanging	Дефектный	Противоречие в условии	Д2	«Объявленный сюрприз» — перформативное противоречие	Псевдо	Центральный
D.8	Парадокс суда (Протагор)	Paradox of the Court	Дефектный	Противоречие в условии	Д2	Контракт включает результат своей проверки	Псевдо	Краткий
D.9	Парадокс всемогущества	Omnipotence Paradox	Дефектный	Противоречие в определении	Д2	«Всемогущество» как неограниченная способность противоречиво	Псевдо	Краткий
D.10	Парадокс камня	Stone Paradox	Дефектный	Противоречие в определении	Д2	Популярная формулировка всемогущества	Псевдо	Краткий
D.11	Парадокс Ньюкомба	Newcomb's Paradox	Дефектный	Скрытое противоречие	Д2	Конфликт детерминизма (для предсказания) и свободы (для выбора)	Мнимый	Центральный
D.12	Парадокс дедушки	Grandfather Paradox	Дефектный	Ложная посылка	Д3	«Изменяемое прошлое» — противоречивая концепция	Псевдо	Краткий
D.13	Ахиллес и черепаха	Zeno's Achilles	Дефектный	Ложная посылка	Д2	Бесконечное число шагов ≠ бесконечное время	Псевдо	Краткий
D.14	Дихотомия Зенона	Zeno's Dichotomy	Дефектный	Ложная посылка	Д2	Бесконечное деление ≠ невозможность завершения	Псевдо	Краткий
D.15	Стрела Зенона	Zeno's Arrow	Дефектный	Ложная посылка	Д3	Движение — не последовательность покоев	Псевдо	Краткий
D.16	Парадокс двух конвертов	Two Envelopes	Дефектный	Ошибка в рассуждении	Д4	Некорректное применение ожидаемой полезности	Псевдо	Краткий
D.17	Рогатый (софизм)	Horned Man	Дефектный	Ошибка в рассуждении	Д2	Эквивокация: «не потерял» предполагает «имел»	Псевдо	Краткий
D.18	Парадокс лошадей	Horse Paradox	Дефектный	Ошибка в рассуждении	Д4	Ошибка в базе индукции при n=1	Псевдо	Краткий
D.19	Парадокс замаскированного	Masked Man	Дефектный	Ошибка в рассуждении	Д2	«Знать» — интенсиональный контекст	Псевдо	Краткий
D.20	Черепаха Кэрролла	Carroll's Tortoise	Дефектный	Смешение уровней (правило/посылка)	Д2	Правило вывода (уровень операций) смешивается с посылкой (уровень элементов)	Мнимый	Центральный
D.21	Отель Гильберта	Hilbert's Hotel	Дефектный	Неопределённость понятия	Д2	«Полон» неприменимо к безграничному	Мнимый	Центральный
D.22	Парадокс Галилея	Galileo's Paradox	Дефектный	Неопределённость понятия	Д2	«Столько же» меняет значение (количество → биекция)	Мнимый	Центральный
D.23	Парадокс Банаха-Тарского	Banach-Tarski	Дефектный	Неопределённость понятия	Д2/Д3	«Части» — неизмеримые множества, не физические объекты	Мнимый	Центральный
D.24	Лампа Томсона	Thomson's Lamp	Дефектный	Неопределённость понятия	Д2	«После бесконечности» — бессмысленно	Мнимый	Краткий
D.25	Парадокс Росса-Литтлвуда	Ross-Littlewood	Дефектный	Неопределённость понятия	Д2	Бесконечные операции не коммутативны	Мнимый	Краткий
N.1	Проблема Монти Холла	Monty Hall	Не-парадокс	Контринтуитивный результат	—	Корректный результат: менять выгодно (2/3)	Мнимый	—
N.2	Парадокс дней рождения	Birthday Paradox	Не-парадокс	Контринтуитивный результат	—	Корректный результат: число пар растёт квадратично	Мнимый	—
N.3	Парадокс Симпсона	Simpson's Paradox	Не-парадокс	Контринтуитивный результат	—	Корректный результат: агрегация может искажать	Мнимый	—
N.4	Парадокс ложноположительных	False Positive	Не-парадокс	Контринтуитивный результат	—	Корректный результат: теорема Байеса	Мнимый	—
N.5	Парадокс лотереи	Lottery Paradox	Не-парадокс	Эпистемическая особенность	—	Вера в отдельное ≠ вера в конъюнкцию	Мнимый	—
N.6	Парадокс предисловия	Preface Paradox	Не-парадокс	Эпистемическая особенность	—	Рационально признавать вероятность ошибки	Мнимый	—
N.7	Буриданов осёл	Buridan's Ass	Не-парадокс	Проблема выбора	—	Разрешается случайным выбором	Мнимый	—
N.8	Парадокс воронов	Raven Paradox	Не-парадокс	Проблема подтверждения	—	Показывает проблему индуктивного подтверждения	Мнимый	—
