Категория	Код	Название	Описание	Вопрос домена	Принцип
2	2.3	Домен 3 — Выбор рамки	Несоответствие рамки оценки предмету исследования	По какому основанию?	Принцип Объективности
2	2.3.1	Категориальное несоответствие	Рамка применяется к явлению иной категории		
2	2.3.2	Поверхностный перенос	Рамка переносится по внешнему сходству		
2	2.3.3	Смешение факта и нормы	Переход от «есть» к «должно»		
2	2.3.4	Смешение нормы и факта	Переход от «должно» к «есть»		
2	2.3.5	Нерелевантный критерий	Характеристика не связана с истинностью		
2	2.3.6	Рамка под результат	Выбор определён желаемым выводом		
2	2.4	Домен 4 — Сравнение	Дефектное применение рамки к материалу	Как соотносится?	Узловой домен: все четыре закона разом
2	2.4.1	Ложное уравнивание	Существенные различия игнорируются		
2	2.4.2	Несопоставимость	Нет общего основания для сравнения		
2	2.4.3	Нестабильность критериев	Критерии сдвигаются в процессе		
2	2.4.4	Неполнота сравнения	Релевантные атрибуты упущены		
2	2.4.5	Сравнение с несуществующим	Реальное сравнивается с идеалом		
2	2.5	Домен 5 — Вывод	Вывод превышает своё основание	Что следует?	Принцип Рационализма
2	2.5.1	Формальная ошибка структуры	Нарушена логическая форма вывода		
2	2.5.2	Причинная ошибка	Причинность без механизма или основания		
2	2.5.3	Цепочечная ошибка	Звенья цепи не обоснованы		
2	2.5.4	Масштабная ошибка	Вывод шире, чем позволяют данные		
2	2.6	Домен 6 — Рефлексия	Отказ от признания границ вывода	Каковы границы?	Принцип Ограничения
2	2.6.1	Иллюзия завершённости	Вывод принят за окончательную истину		
2	2.6.2	Искажение самооценки	Неспособность оценить свою компетентность		
2	2.6.3	Влияние прошлых инвестиций	Невозвратные затраты искажают оценку		
2	2.6.4	Иммунизация от проверки	Вывод защищён от любого опровержения		
3	3	Нарушения последовательности	Нарушения Закона Порядка — последовательности доменов	—	Закон Порядка
3	3.1	Преждевременный переход	Домен не завершён, но следующий начат		
3	3.2	Обратное движение	Рассуждение идёт от вывода к посылкам		
3	3.3	Инверсия бремени	Роли в доказательстве перевёрнуты: бремя обоснования переложено с утверждающего на оппонента		
3	3.4	Смешение	Операции разных доменов одновременно		
3	3.5	Подмена объекта в процессе	A в начале ≠ A в конце рассуждения		
4	4	Синдромы	Паттерны, проявляющиеся в нескольких доменах по общей причине	—	Множественная локализация
4	4.1	Confirmation bias	Проявляется в Д1, Д3, Д4		Желание определённого результата
4	4.2	Motivated reasoning	Проявляется в Д1-Д5		Эмоциональная инвестиция в вывод
4	4.3	Groupthink	Проявляется в Д1, Д3, Д6		Социальное давление
4	4.4	Anchoring	Проявляется в Д4, Д5		Когнитивная инерция
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
